Age,AnnualIncome,CreditScore,EmploymentStatus,LoanAmount,LoanDuration,EducationLevel,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,LoanPurpose,RiskScore,LoanApproved
33,56650,605,Employed,12652,36,Doctorate,1,336,0.4234308630650563,0.0441568040602275,0,0,21,15,Auto,33.6,1
27,50042,582,Employed,19105,60,Doctorate,1,680,0.1039191338396645,0.308869314312398,0,0,36,14,Debt Consolidation,53.0,0
43,142326,644,Employed,13499,96,Bachelor,2,772,0.2225792308926875,0.29546987577122,0,0,18,2,Other,39.2,1
29,16021,553,Employed,14655,72,High School,0,286,0.5560300102027713,0.1045686898825265,0,1,25,12,Debt Consolidation,59.0,0
23,34698,594,Employed,14314,60,Associate,3,755,0.1872028404084978,0.1005979617163389,0,0,27,29,Debt Consolidation,48.0,0
57,106749,630,Employed,15698,48,Master,0,1059,0.1325425984776519,0.1472796820224425,0,0,21,14,Auto,32.800000000000004,1
37,59138,594,Employed,13205,72,Associate,0,564,0.3937721883778739,0.1116632265342507,0,0,18,9,Auto,51.0,0
40,114216,635,Employed,9809,60,Doctorate,3,571,0.2241874208084188,0.6304483929012554,0,0,26,2,Home,46.400000000000006,1
22,63300,503,Employed,16476,24,Associate,2,376,0.3896493754670718,0.2357985888572082,0,0,29,7,Home,53.0,0
33,39676,555,Employed,47795,60,Master,1,199,0.3465198640320265,0.5733945375308696,0,0,19,4,Home,60.0,0
41,59192,594,Unemployed,45608,36,High School,4,222,0.4093363654675574,0.2301158454793847,0,0,18,1,Auto,58.0,0
26,15059,462,Employed,20240,24,Associate,3,443,0.0988217595655066,0.0670663376140666,0,0,16,25,Home,51.0,0
44,15305,608,Self-Employed,21452,48,Bachelor,4,443,0.1113146919186794,0.0631537920264881,0,0,21,29,Home,51.0,0
32,35498,622,Employed,11136,36,Master,0,698,0.3907447101416139,0.1764443521487324,0,0,18,17,Home,48.0,0
36,60227,576,Employed,25264,84,Bachelor,3,458,0.2782753429555818,0.1441126824725377,0,0,27,28,Home,36.8,1
32,23861,592,Self-Employed,19570,36,High School,0,521,0.2327773061723514,0.2237112245223063,0,0,29,27,Auto,55.0,0
62,73843,667,Unemployed,44668,60,Master,1,388,0.2959583202347089,0.1569137013697023,1,0,16,3,Home,62.0,0
39,61099,559,Employed,10094,84,Bachelor,0,380,0.1283514136335209,0.265219566244273,0,0,21,19,Auto,51.0,0
27,15000,535,Employed,11318,120,High School,2,721,0.5827549421963798,0.4483848187309043,0,0,15,18,Home,53.0,0
49,34738,520,Employed,10166,72,Associate,2,388,0.5663402048797452,0.3145138105264432,0,0,27,4,Home,55.0,0
25,85889,571,Employed,24186,72,Bachelor,2,870,0.3316567652324292,0.0505386436633547,0,0,31,10,Education,49.0,0
42,78701,552,Employed,18326,60,Associate,1,482,0.1880053011286133,0.0713019781228963,0,0,25,19,Home,36.0,1
18,24914,604,Employed,8015,36,Master,4,327,0.3761587952008543,0.6442658599722689,0,0,17,28,Auto,45.6,1
24,57231,508,Unemployed,35876,48,Associate,4,370,0.572203517627025,0.1347406133958152,0,0,20,21,Auto,50.0,0
42,163303,655,Self-Employed,12850,72,Bachelor,2,337,0.3579693126478545,0.072959105598751,0,0,19,1,Debt Consolidation,37.6,1
48,38453,595,Unemployed,30517,48,High School,0,560,0.3824377045646856,0.103003264767073,0,0,22,20,Home,54.0,0
42,99920,582,Self-Employed,23363,12,Bachelor,3,298,0.615080763381052,0.2058309595482642,0,0,20,11,Debt Consolidation,44.8,1
38,57860,591,Employed,25576,96,High School,4,159,0.144070320692704,0.0743870323199498,0,0,27,1,Auto,47.0,0
36,30890,590,Employed,10176,24,High School,2,289,0.2138637490821043,0.1247302171537788,0,0,23,6,Education,53.0,0
22,15561,500,Employed,20169,36,High School,2,346,0.1042237707058156,0.3745583771833413,0,0,25,13,Debt Consolidation,55.0,0
31,105957,530,Employed,53987,72,High School,0,399,0.0464504455465448,0.6210591922536411,0,0,31,16,Auto,54.0,0
34,82887,545,Employed,20996,84,High School,2,471,0.3740170430031402,0.1515959478647919,0,0,19,8,Other,50.0,0
52,53555,631,Employed,29418,60,Associate,1,221,0.2577000441958514,0.1479091377421932,0,0,28,20,Education,47.0,0
44,105639,627,Employed,20409,108,High School,0,387,0.2821744664134705,0.3270783966346243,0,0,22,21,Home,46.0,0
18,58342,519,Employed,10077,24,High School,3,592,0.1592144927585534,0.1928691558716403,0,0,20,7,Debt Consolidation,50.0,0
43,121939,653,Employed,41215,48,Doctorate,0,220,0.5329414041983653,0.2444251231872098,0,0,30,12,Other,32.800000000000004,1
35,16054,526,Employed,20612,36,Associate,1,465,0.1443622367669244,0.2065330441829189,0,0,25,21,Education,53.0,0
31,36057,592,Employed,29501,36,Associate,3,384,0.231684159042131,0.187428659092861,0,0,18,12,Home,51.0,0
47,124086,631,Employed,36798,24,High School,3,713,0.2244822886310728,0.3397144748555306,0,0,27,24,Auto,39.2,1
52,272693,586,Employed,19717,84,Bachelor,0,278,0.3724747249366798,0.2701575024326625,0,0,19,13,Auto,38.400000000000006,1
51,48757,615,Employed,16173,84,Bachelor,3,817,0.2107139712881695,0.3053767173882865,0,0,28,19,Debt Consolidation,52.0,0
29,31683,498,Employed,10566,24,Associate,2,183,0.44355410578573,0.0903706187413158,0,0,22,12,Debt Consolidation,48.0,0
36,69003,499,Self-Employed,5376,96,Associate,4,458,0.3676627894804439,0.1743798193059494,0,0,28,11,Auto,42.400000000000006,1
43,72408,616,Employed,23181,48,Bachelor,0,803,0.2346544414979507,0.3654388165555161,1,0,22,29,Debt Consolidation,63.0,0
51,105087,653,Employed,48331,108,Master,1,772,0.1169995622862777,0.1805575456028504,0,1,22,24,Auto,44.0,0
34,15000,607,Employed,26412,96,Master,1,468,0.0312666074670237,0.3501123923122793,0,0,18,22,Home,48.0,0
37,38513,600,Self-Employed,21225,48,High School,2,373,0.5186353659043479,0.1684358288403604,0,0,22,29,Education,52.0,0
26,77555,527,Employed,22854,36,Bachelor,0,499,0.0954795705875424,0.1882781482364729,0,0,19,22,Education,39.2,1
25,15000,576,Employed,18177,48,High School,0,528,0.2733122633825723,0.2360832262016053,0,0,25,3,Home,57.0,0
49,24973,611,Employed,17466,48,Bachelor,3,336,0.2800815869769942,0.4149944474463848,0,0,23,12,Auto,55.0,0
56,18248,574,Employed,16443,24,Associate,0,733,0.2834741820252165,0.0636283363199063,0,0,23,20,Home,48.0,0
39,67367,615,Self-Employed,26889,48,Associate,1,317,0.0079659183933911,0.4659121203237648,0,0,29,24,Debt Consolidation,42.400000000000006,1
52,32418,647,Employed,32208,12,Bachelor,2,447,0.4134019823146939,0.3187597670827545,0,0,26,3,Auto,50.0,0
44,26879,649,Employed,20313,60,Bachelor,1,562,0.4332425002437474,0.2196495791430893,0,0,22,29,Home,50.0,0
32,54128,620,Employed,20676,36,Bachelor,0,322,0.2634989466223707,0.1001359210966172,0,0,32,7,Home,36.8,1
44,19924,535,Employed,21767,48,High School,0,495,0.2453260140229627,0.3843523709782191,0,0,32,19,Education,56.0,0
58,90788,672,Employed,18243,36,Bachelor,2,153,0.2979257232305213,0.1466334645866133,0,0,20,21,Debt Consolidation,34.4,1
39,190445,619,Employed,28894,36,Master,3,304,0.2636491392588649,0.0128331622197715,0,0,24,8,Other,33.6,1
58,35372,612,Employed,25313,24,High School,1,424,0.291020375896654,0.4043888356972662,0,0,20,26,Education,50.0,0
18,15000,570,Employed,50226,48,Associate,1,537,0.2081155309488201,0.2267352834345347,0,1,16,26,Debt Consolidation,58.0,0
49,40829,617,Employed,25478,36,Bachelor,1,785,0.0732205581912403,0.2537459242072161,0,0,11,14,Auto,49.0,0
41,58655,523,Employed,26493,96,Associate,4,206,0.4153044222038413,0.1751875631410331,0,0,24,13,Other,51.0,0
36,68801,531,Employed,18652,36,Bachelor,0,1044,0.1655157134903838,0.3352329239387456,0,1,30,16,Auto,53.0,0
41,92731,619,Employed,31116,48,Bachelor,1,396,0.1230518515092504,0.2211172138523826,0,0,20,3,Home,50.0,0
18,40050,545,Self-Employed,112253,48,Doctorate,1,406,0.3061276212624648,0.184527533056013,0,1,33,2,Home,64.0,0
37,40784,618,Employed,41465,72,Master,0,370,0.1743262446861453,0.2037609569235825,0,0,26,27,Home,45.0,0
44,15000,588,Employed,26563,48,High School,0,378,0.3089276425404629,0.2981084080452126,0,0,24,21,Home,48.0,0
57,86699,615,Employed,7469,60,Associate,0,413,0.1137618678075246,0.17913554613205,0,0,18,24,Home,36.0,1
33,17676,540,Employed,17801,48,Associate,4,226,0.1530945685800469,0.3556427908501307,0,0,38,21,Debt Consolidation,55.0,0
30,42752,517,Employed,14379,36,High School,2,363,0.3577786360795207,0.2975879340693383,0,0,18,2,Auto,53.0,0
33,29096,570,Employed,40138,24,Associate,3,685,0.1412970784565487,0.2394469395065947,0,0,28,19,Debt Consolidation,53.0,0
50,60992,663,Employed,24642,48,Bachelor,0,664,0.2526376838731083,0.0555881712831942,0,0,28,17,Home,44.0,0
43,100032,524,Employed,19105,60,Master,0,824,0.106728644103128,0.2266498679075305,1,0,24,29,Education,49.6,1
33,35882,620,Employed,9259,48,Master,0,257,0.1702458363341031,0.1475930047073919,0,0,23,11,Home,47.0,0
46,32781,623,Employed,17468,60,High School,1,1180,0.0874823837188859,0.0937773219549579,0,0,23,19,Debt Consolidation,41.0,0
41,51707,585,Employed,20069,72,Bachelor,3,407,0.0059223893278881,0.2173883786590151,0,0,25,7,Home,52.0,0
51,31251,596,Unemployed,66582,24,Bachelor,0,357,0.5664480969779048,0.1601695538852808,0,1,21,25,Home,61.0,0
31,22359,524,Employed,26889,48,High School,2,216,0.2211316958194412,0.4552599311322595,0,0,14,8,Auto,57.0,0
36,152650,610,Employed,24815,48,Associate,3,148,0.103056870955778,0.3843075055403481,0,0,21,25,Home,38.400000000000006,1
35,15120,562,Self-Employed,21849,84,Master,0,423,0.5157266656021708,0.2386445210334251,0,0,24,26,Debt Consolidation,58.0,0
22,59830,570,Self-Employed,22734,24,Associate,2,246,0.432399872563476,0.5723276818607661,0,0,29,9,Debt Consolidation,45.6,1
43,55308,645,Employed,19539,72,Doctorate,0,362,0.0715581905110223,0.2662099288951911,0,0,29,24,Debt Consolidation,36.8,1
43,30948,601,Employed,25291,36,Bachelor,0,286,0.0509513419696787,0.3603486893761465,0,0,19,25,Auto,49.0,0
40,56940,592,Employed,15752,96,Associate,0,213,0.4250499826740336,0.1172375847043762,0,0,20,7,Debt Consolidation,50.0,0
37,44000,539,Employed,28714,60,High School,3,457,0.4141824374841434,0.1999940926692494,0,0,10,29,Home,46.0,0
23,81554,509,Employed,35101,72,High School,1,519,0.3579209013937276,0.2943235497801772,0,0,23,24,Home,49.0,0
34,26567,612,Employed,17339,60,Bachelor,1,194,0.0873860931301412,0.0653370744758526,0,0,17,14,Education,48.0,0
35,33569,596,Employed,37172,48,Bachelor,0,212,0.2629147472900452,0.0325882994284799,0,0,20,8,Home,52.0,0
30,94238,608,Employed,15917,36,Bachelor,3,203,0.1643775271640669,0.4589280817317269,0,0,23,2,Home,44.0,1
38,45145,587,Employed,11431,48,Bachelor,1,879,0.1261249456996093,0.2974102492388263,0,0,27,24,Education,40.0,1
44,70881,597,Employed,34590,48,Master,0,324,0.30403187309642,0.117077159340471,0,0,22,19,Home,50.0,0
62,105240,656,Employed,13937,108,Associate,3,391,0.2489745651437896,0.1983002305886784,1,0,32,26,Home,55.0,0
42,63709,517,Unemployed,22221,48,Bachelor,0,623,0.2838588898758306,0.4732130443935223,0,0,41,18,Auto,57.0,0
43,31713,487,Self-Employed,38865,48,Bachelor,1,314,0.2499556834175538,0.6010572141517163,0,0,20,6,Auto,64.0,0
39,29900,536,Employed,23396,72,High School,3,589,0.1038206712651684,0.1858154591411437,0,0,28,4,Debt Consolidation,54.0,0
18,87673,608,Employed,10667,72,Master,3,725,0.2219630213117185,0.3856831470770867,0,1,23,19,Auto,43.2,1
39,55454,565,Self-Employed,35551,36,Bachelor,3,1206,0.2406738956667675,0.5263880901334251,0,0,22,13,Auto,61.0,0
40,40722,558,Employed,31637,120,High School,2,269,0.1727113925422437,0.1438867784578108,0,0,22,9,Auto,47.0,0
69,76571,680,Employed,34173,48,Master,1,407,0.1586768373024463,0.216618899532913,0,0,20,3,Home,46.0,0
37,22901,525,Employed,18493,48,Master,2,288,0.0859222327796731,0.2641119559708486,0,0,25,6,Auto,53.0,0
43,49421,609,Employed,17161,72,Bachelor,3,438,0.3621156053362238,0.2587870541153639,0,0,21,8,Debt Consolidation,51.0,0
39,43507,611,Employed,31845,48,Associate,3,544,0.3749899526791381,0.0847899222421028,1,0,32,15,Home,60.0,0
25,41402,572,Employed,25900,36,Doctorate,4,419,0.1113135565726894,0.0923347235350403,0,0,29,21,Home,50.0,0
53,37405,626,Employed,15770,48,High School,0,442,0.2279538059258588,0.2996445580910432,0,1,22,19,Debt Consolidation,56.0,0
49,48399,564,Employed,19629,48,Bachelor,0,346,0.2845530444179331,0.2145117695194217,0,0,18,19,Home,51.0,0
49,44775,574,Employed,20270,48,High School,4,228,0.1537465730129016,0.1961324000931501,0,0,28,7,Education,51.0,0
29,125711,580,Employed,12133,48,Associate,0,543,0.4563506459374977,0.2147964982057931,0,0,20,20,Home,40.8,1
56,15131,634,Employed,25599,48,Master,2,351,0.2426003682938966,0.3810705651994572,0,1,25,5,Home,59.0,0
23,73576,603,Employed,12055,36,Bachelor,2,491,0.010550359397377,0.24930210540325,0,0,26,1,Education,41.6,1
47,50345,602,Employed,18805,48,Bachelor,1,441,0.4682993166153103,0.0879305410086949,0,0,24,1,Home,52.0,0
66,56816,669,Employed,20719,12,Associate,2,288,0.3201989296751192,0.0764620140703347,0,0,28,27,Auto,28.8,1
28,34588,621,Employed,18962,48,Master,0,444,0.2153448383537081,0.2816647708675246,0,0,36,1,Debt Consolidation,52.0,0
33,55383,565,Employed,9093,48,Associate,3,419,0.3080942448964131,0.0936257148249453,0,0,18,21,Auto,40.0,1
41,65180,551,Employed,15086,72,High School,2,323,0.2629592287911378,0.1893285066405936,0,0,24,26,Debt Consolidation,40.0,1
33,15000,523,Employed,13879,60,Bachelor,2,248,0.258464995124704,0.3668960471331983,0,0,29,13,Auto,56.0,0
21,149736,560,Employed,27917,48,Associate,0,604,0.3076271019395862,0.3647327710678125,0,0,27,9,Auto,37.6,1
40,42717,585,Employed,41561,24,High School,3,326,0.3800835716089359,0.252630803759783,0,0,21,24,Home,53.0,0
27,66417,590,Employed,9493,48,Master,3,408,0.644568842556894,0.1906296164057773,0,0,27,17,Home,40.0,1
45,22121,602,Employed,18805,60,Bachelor,3,250,0.2210274421152772,0.0641242479182796,0,0,32,12,Home,47.0,0
28,37558,620,Employed,18686,60,Master,0,278,0.1221470589494719,0.2197450342212391,0,0,24,24,Education,49.0,0
58,134691,621,Employed,16421,24,Bachelor,0,607,0.1916414193207638,0.169401203082851,0,1,28,27,Home,40.0,1
30,33101,539,Employed,29824,60,High School,0,358,0.1847873399309997,0.1637510519359936,0,0,17,19,Education,46.0,0
36,44364,439,Employed,5538,36,High School,1,313,0.3314445993974999,0.3018415197190495,0,0,26,12,Other,40.8,1
49,38596,499,Employed,13078,36,Master,2,292,0.148254550452486,0.3877176939850358,0,1,24,23,Debt Consolidation,60.0,0
25,139954,439,Unemployed,40858,48,High School,0,293,0.1728898066948234,0.4489110385391811,0,0,28,22,Auto,56.0,0
42,53444,521,Unemployed,16462,60,Bachelor,0,730,0.3684903388772527,0.237526015053893,0,0,24,12,Auto,55.0,0
55,113523,643,Employed,10990,60,High School,0,427,0.3060192614473559,0.2217120257217952,0,0,25,18,Auto,35.2,1
20,31270,581,Employed,6624,12,Bachelor,1,151,0.464867466093846,0.0920790813606543,0,1,27,20,Other,58.0,0
42,46717,520,Employed,20915,60,High School,4,616,0.3926780588481041,0.4418981690673736,0,0,25,20,Auto,57.0,0
43,56613,564,Employed,25148,36,High School,0,340,0.5136588368001973,0.4353465580683332,0,0,20,3,Home,56.0,0
49,86882,612,Employed,51374,72,Bachelor,1,380,0.116597619683324,0.225287112967231,0,0,35,19,Home,47.0,0
25,69876,598,Employed,17992,96,Associate,1,545,0.0114707390916024,0.2581546911234629,0,0,31,15,Debt Consolidation,51.0,0
24,32582,513,Self-Employed,26598,60,Bachelor,0,231,0.4625920674621868,0.1466522547528528,0,0,24,21,Debt Consolidation,55.0,0
46,101562,612,Employed,30836,84,Bachelor,3,323,0.6055536860613306,0.1895148847247776,0,1,26,14,Education,54.0,0
43,24611,548,Unemployed,21110,24,Bachelor,0,489,0.5774590354323942,0.222317808740061,0,0,30,18,Education,54.0,0
43,22390,594,Employed,17603,120,Associate,1,389,0.1581449304593628,0.3996419437011357,0,0,19,23,Auto,55.0,0
44,47430,605,Employed,32684,60,Bachelor,5,377,0.6351421226572908,0.191575883028812,0,0,31,17,Debt Consolidation,50.0,0
31,57105,500,Employed,24760,36,Master,3,168,0.1222252354768056,0.3289675827238538,0,0,15,20,Home,53.0,0
42,28751,536,Employed,30150,60,Bachelor,0,343,0.4110981671499558,0.3386737526920623,0,0,19,5,Debt Consolidation,59.0,0
43,43567,547,Employed,17390,24,Bachelor,2,308,0.1436437837044899,0.2657086420246948,0,0,28,10,Debt Consolidation,48.0,0
31,20113,575,Employed,27214,36,Master,1,347,0.2162748337056839,0.4527286073123595,0,0,20,2,Other,60.0,0
62,52633,682,Unemployed,13197,120,Master,5,347,0.2206098600903152,0.1779702798550773,1,0,22,27,Auto,59.0,0
45,93617,557,Employed,10868,84,Associate,0,826,0.1852083569009087,0.4673102205493854,0,0,18,17,Home,43.2,1
25,34276,574,Employed,5163,96,Doctorate,3,365,0.3068512432051159,0.1981528554668243,0,0,27,26,Debt Consolidation,51.0,0
47,25819,587,Self-Employed,12824,36,High School,0,103,0.6251110136059772,0.2019140922561381,0,0,30,5,Debt Consolidation,61.0,0
28,72220,546,Employed,11336,36,Doctorate,1,533,0.0749757526584197,0.0943437121914956,0,0,27,28,Debt Consolidation,36.0,1
49,30032,594,Employed,5789,24,High School,0,148,0.3107083947287454,0.6043856643408314,0,0,32,1,Debt Consolidation,61.0,0
53,259639,545,Employed,39203,12,Associate,3,189,0.4386562711710819,0.2159059871988357,0,0,26,18,Debt Consolidation,40.8,1
30,58238,628,Self-Employed,15647,48,Master,1,770,0.3295258830768796,0.1772264166734497,1,0,31,5,Debt Consolidation,64.0,0
51,91953,618,Employed,21715,48,High School,5,264,0.2848807974783398,0.5055457486130079,0,0,30,4,Debt Consolidation,45.6,1
44,22237,609,Employed,33644,60,High School,1,816,0.0834704033900283,0.4714725437536073,0,0,28,21,Home,54.0,0
49,74085,653,Employed,36208,12,Bachelor,2,375,0.2610447149526503,0.5635651599936462,0,0,32,28,Debt Consolidation,52.0,0
62,33370,633,Employed,18943,24,Bachelor,2,545,0.5216435101841149,0.3087013594120962,0,0,24,9,Home,54.0,0
37,36562,553,Employed,38934,48,High School,0,782,0.2712565461457211,0.3734549246387511,0,1,26,11,Home,42.400000000000006,1
30,25658,583,Employed,6423,36,Associate,3,374,0.1894535547286846,0.0656446682087652,0,0,20,6,Other,51.0,0
29,75095,590,Employed,11657,120,Associate,1,182,0.445935977119576,0.5825699687710878,0,1,15,9,Auto,66.0,0
30,50657,591,Employed,20536,48,High School,2,638,0.3076862262550148,0.0611514659954466,0,0,27,14,Auto,46.0,0
39,48707,582,Employed,9741,36,Bachelor,0,558,0.0522357238300751,0.2514780656533204,0,0,30,17,Home,50.0,0
44,99138,524,Employed,23007,48,High School,4,472,0.2540217479680924,0.2485996001451692,0,0,25,24,Auto,40.8,1
43,48280,581,Employed,40424,36,Associate,4,340,0.2456170925788514,0.236268128684344,0,0,28,12,Home,51.0,0
49,88064,568,Employed,24156,120,Bachelor,0,382,0.4188561574560084,0.1095899033439234,0,0,28,17,Other,36.8,1
40,177855,625,Employed,17289,60,Master,0,280,0.0381954413523817,0.4362052170220401,0,0,24,26,Education,38.400000000000006,1
57,55440,614,Employed,31937,12,Bachelor,2,497,0.1472038203843839,0.3286043803976798,0,0,25,14,Auto,50.0,0
36,44377,558,Employed,11938,36,High School,3,215,0.4871413459689579,0.172368674875069,0,0,23,19,Debt Consolidation,40.0,1
72,115677,511,Employed,27962,24,Bachelor,1,364,0.1067163362071237,0.4827722727825871,0,0,26,6,Debt Consolidation,54.0,0
47,163133,654,Employed,13145,36,Master,5,210,0.1247277421292372,0.1071683365164474,0,0,27,6,Education,32.800000000000004,1
29,51989,517,Employed,26850,72,Bachelor,3,351,0.1694921328730161,0.486149060748954,0,0,22,3,Auto,58.0,0
27,28941,612,Employed,15007,60,Associate,0,112,0.126320772975842,0.5284547949288323,0,0,23,8,Education,57.0,0
45,117455,652,Unemployed,19372,48,Doctorate,3,697,0.24441493145149,0.6809138064677995,0,1,26,6,Auto,44.8,1
37,68157,565,Employed,15091,36,Bachelor,2,394,0.2163111726654191,0.0854081281215183,0,0,28,27,Education,40.0,1
48,117456,579,Employed,17310,36,Master,5,451,0.2410743506482596,0.1182265399768881,0,0,18,24,Home,39.2,1
45,84230,579,Employed,61376,72,Bachelor,0,565,0.3140071582874062,0.0933659074560961,0,1,34,7,Home,56.0,0
39,47910,515,Employed,25068,24,High School,3,447,0.119513307240929,0.0213720313254242,0,0,17,10,Education,48.0,0
29,37709,557,Employed,27440,60,High School,1,435,0.4760696725312704,0.4629774584414892,0,1,25,9,Debt Consolidation,65.0,0
21,73625,540,Employed,12927,24,Bachelor,0,182,0.1167416801898883,0.192876457773361,1,0,21,8,Home,58.0,0
34,19757,592,Employed,17292,120,Associate,4,385,0.3805188753690838,0.1810785285637999,0,0,28,9,Education,53.0,0
50,111020,498,Employed,23552,12,Associate,4,496,0.2366543880261757,0.4521291285619364,0,0,23,24,Other,44.0,1
42,54202,553,Unemployed,12176,60,High School,0,292,0.1763074530890557,0.0518711996149119,1,0,22,9,Auto,65.0,0
25,36184,620,Employed,38807,48,Master,3,210,0.7300222752172015,0.2278326411523714,0,0,38,9,Debt Consolidation,53.0,0
42,56320,603,Employed,21883,60,Master,0,653,0.1184361050740646,0.06966193937591,0,0,31,12,Auto,32.0,1
44,111257,487,Employed,18609,60,Associate,0,525,0.4198730262830971,0.1859452564174194,0,0,25,17,Education,40.0,1
29,55172,606,Employed,40220,36,Bachelor,0,317,0.5136802341383394,0.5761166993738129,0,0,31,9,Auto,55.0,0
41,29020,583,Employed,16570,60,High School,2,158,0.2277590061052535,0.1737664767520638,0,0,23,4,Home,55.0,0
40,19990,564,Employed,11236,24,Bachelor,2,511,0.4284277726311846,0.26027699018118,0,0,28,15,Debt Consolidation,53.0,0
26,196442,600,Employed,25519,24,Associate,1,326,0.3204075085915293,0.169365098745828,0,1,25,19,Auto,40.8,1
44,21725,630,Employed,38766,48,Bachelor,0,206,0.1902325394109812,0.427326575550395,0,0,10,13,Auto,52.0,0
46,49098,472,Employed,31990,72,Associate,3,352,0.2929852555840478,0.1264628873651131,0,1,27,24,Debt Consolidation,57.0,0
52,33061,640,Employed,11580,36,Associate,3,384,0.1881890183046389,0.3052513339718397,0,0,19,25,Auto,39.2,1
52,91077,550,Employed,37597,36,High School,4,917,0.1093319496441065,0.1155737778099784,0,0,22,4,Home,51.0,0
23,17270,593,Employed,28352,36,High School,2,858,0.3652840764368677,0.2443503106211836,0,0,24,29,Home,54.0,0
28,137635,622,Employed,12414,48,Master,2,285,0.4682036444396825,0.3663117190145242,0,0,18,8,Home,40.8,1
46,44523,613,Unemployed,12648,96,High School,3,90,0.153657113448369,0.4228086860980984,0,0,30,28,Home,56.0,0
46,40998,576,Employed,29172,48,High School,1,463,0.1263456167828552,0.7110837126016447,0,0,23,18,Debt Consolidation,58.0,0
46,49839,558,Employed,34869,108,Associate,3,565,0.2884886563663097,0.2604730757857563,1,0,26,20,Auto,65.0,0
80,48462,656,Employed,29111,72,Associate,4,477,0.353579875365987,0.2842673053306766,0,0,19,15,Auto,47.0,0
46,37268,535,Employed,26549,48,Bachelor,0,504,0.1098719155051626,0.1041444162817191,0,1,19,12,Debt Consolidation,56.0,0
53,85512,628,Employed,20367,48,Associate,1,338,0.218746724578068,0.314813123032829,0,0,30,8,Auto,39.2,1
51,16619,617,Employed,22186,48,High School,5,236,0.2814973113910139,0.0923775684443923,0,0,23,20,Home,49.0,0
47,30548,490,Employed,22280,84,High School,0,920,0.0219195364517921,0.2121940899911138,0,0,28,26,Other,52.0,0
36,108416,604,Unemployed,60460,72,High School,0,292,0.3449637152710574,0.1838290160975602,0,0,22,25,Debt Consolidation,47.0,0
49,56255,571,Employed,14526,24,Associate,0,573,0.0985992669510242,0.0093003330729739,0,0,19,4,Auto,36.8,1
30,35795,510,Employed,18086,36,Master,2,239,0.0966267479022237,0.4044209770522251,0,0,22,15,Debt Consolidation,52.0,0
37,20882,566,Employed,23838,48,High School,2,671,0.1278379308546393,0.2458156813281793,0,0,24,25,Home,51.0,0
34,21573,522,Employed,12419,48,Bachelor,0,194,0.4329456346470891,0.4087024481540232,0,0,28,15,Education,59.0,0
40,86157,535,Employed,16775,36,Bachelor,2,370,0.2801244623624745,0.3294150353121829,0,0,26,12,Auto,40.8,1
67,29708,626,Unemployed,44904,108,High School,1,631,0.3895091098283876,0.1390383949919657,0,0,16,11,Debt Consolidation,50.0,0
18,77920,578,Employed,20677,36,Bachelor,2,1093,0.2792779032275764,0.4797705757616276,0,0,26,20,Debt Consolidation,56.0,0
