Age,AnnualIncome,CreditScore,EmploymentStatus,LoanAmount,LoanDuration,EducationLevel,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,LoanPurpose
32,51970,572,Employed,24725,60,Bachelor,0,278,0.5324217437877767,0.1407646358331899,0,0,26,26,Education
30,24624,549,Employed,12471,60,High School,5,162,0.2751057136225359,0.3619284339797131,0,0,30,27,Other
36,34807,525,Employed,24408,48,High School,0,613,0.4602610852306072,0.2496149425390475,0,0,26,8,Debt Consolidation
51,72169,586,Employed,39622,24,Doctorate,0,408,0.4300430632139688,0.6244429973201289,0,0,23,20,Education
32,51665,564,Employed,21168,60,High School,0,731,0.2000503101477253,0.1377243192467331,1,0,23,22,Home
49,30487,616,Employed,39474,48,Master,2,636,0.3478681654694791,0.1711564795028748,0,0,23,22,Home
27,47009,558,Employed,16057,36,Bachelor,0,367,0.5475118525385885,0.0493397702423197,1,0,27,16,Debt Consolidation
43,26379,610,Employed,52056,60,High School,1,288,0.3818777237035073,0.2464915385850866,0,0,28,11,Other
50,68704,527,Employed,24075,36,High School,3,191,0.290284382615817,0.0282451384093288,0,0,28,12,Home
35,41898,553,Employed,18726,96,Associate,3,975,0.2164514410519888,0.5784514337501547,0,0,30,7,Home
44,46383,602,Employed,8973,48,Master,4,201,0.4192727677752237,0.4025474588394506,0,0,26,7,Debt Consolidation
29,15000,612,Employed,9123,60,Bachelor,2,245,0.248001556809806,0.2363103107266063,0,0,21,24,Auto
34,73986,610,Employed,19735,120,Doctorate,2,310,0.2871500420115676,0.111897584991997,0,0,27,24,Debt Consolidation
66,61924,504,Employed,25827,72,High School,1,714,0.2424660601979854,0.1886007019213134,0,0,27,28,Debt Consolidation
45,20080,523,Employed,33759,48,High School,3,977,0.1605029721602472,0.2072420390631973,0,0,30,1,Debt Consolidation
47,107230,558,Employed,13435,72,Master,3,518,0.2246021119338689,0.0893866760645958,0,0,24,27,Education
38,47184,571,Employed,12562,48,High School,0,173,0.2677127241235534,0.1218923603828156,0,0,20,4,Home
35,43182,542,Employed,12420,60,Bachelor,1,382,0.1605361152425756,0.3608373152345477,0,0,19,26,Home
25,58100,528,Employed,41698,48,High School,2,325,0.2170761731482826,0.0412605444320772,0,0,19,23,Home
51,17225,618,Employed,40406,48,Associate,2,518,0.0887786389420195,0.2372785552380443,0,0,18,22,Home
18,35526,558,Self-Employed,23087,60,High School,5,405,0.2052610696099933,0.0864841888738587,0,0,25,19,Debt Consolidation
18,15000,490,Employed,53098,72,High School,1,231,0.2357811724089078,0.1584493536289704,0,0,25,4,Education
44,15000,568,Employed,7242,60,High School,2,731,0.2972213160753282,0.2890017990346606,0,1,27,8,Other
37,153105,605,Employed,16885,36,Associate,2,834,0.2288134147967303,0.1622877073902402,0,0,29,24,Other
59,89529,590,Employed,18232,12,Associate,0,417,0.1042231960382017,0.112689281310987,0,1,19,8,Auto
37,57649,589,Employed,66736,36,Associate,2,422,0.2542358849861062,0.5871864389198279,0,0,19,20,Debt Consolidation
39,49920,599,Employed,37613,48,High School,1,227,0.2860223543155309,0.380522118818587,0,1,27,16,Home
37,22948,537,Employed,44022,12,Associate,0,617,0.1316023282157243,0.2682919889653751,0,0,24,4,Debt Consolidation
46,100912,549,Self-Employed,15900,96,Master,1,540,0.3088843852509537,0.1737363822209336,0,0,21,26,Debt Consolidation
34,37667,558,Employed,17255,96,High School,2,288,0.4021307552627239,0.4089666931450098,0,0,25,29,Debt Consolidation
39,16417,545,Employed,23783,48,Associate,1,581,0.2111959304819043,0.3121420429979515,1,0,26,29,Debt Consolidation
30,15926,504,Employed,36613,72,High School,0,884,0.4553132082584021,0.4205869463986581,0,0,26,23,Auto
40,19654,628,Unemployed,15957,36,Master,1,308,0.4192081367122767,0.2562709604656069,1,0,21,22,Debt Consolidation
45,148312,609,Employed,15563,60,High School,4,333,0.250302662352872,0.6025832787814073,0,0,25,25,Home
44,43052,557,Employed,15042,12,Associate,3,1002,0.2883271302769924,0.3123228564872487,0,0,20,8,Auto
19,29035,516,Employed,17236,24,High School,2,605,0.826097814139728,0.4390826903508834,0,0,14,16,Education
49,60921,565,Employed,17577,36,Bachelor,2,353,0.3861076334386114,0.3465560339064285,0,0,15,9,Home
45,51058,529,Employed,15799,24,Bachelor,1,555,0.2689759127632063,0.29575263646242,0,0,29,13,Other
42,38148,521,Employed,19434,48,High School,1,462,0.2174790108910692,0.2338567580138438,0,0,22,4,Home
38,38940,572,Employed,34455,72,Bachelor,4,933,0.2776135256464033,0.290316871214235,0,0,19,19,Home
31,47680,521,Employed,12480,48,Master,0,532,0.3021552428466569,0.2290508917693328,0,0,23,7,Home
22,31014,565,Employed,29979,48,Bachelor,0,347,0.3281323080522252,0.1195200058351384,0,0,23,2,Auto
28,68373,583,Employed,27870,120,Associate,1,379,0.0373716459287156,0.4763377708398111,0,0,25,2,Other
30,29010,565,Employed,19959,24,Bachelor,3,422,0.1913622103086918,0.0732937062595119,0,0,20,24,Auto
41,89634,580,Employed,24989,48,Doctorate,1,748,0.1688279831264476,0.221772675833762,0,0,24,4,Home
57,72868,650,Employed,19242,36,High School,5,677,0.08657693378794,0.373904296226362,0,1,25,3,Education
40,64732,584,Self-Employed,11430,48,Bachelor,3,733,0.1248862333410526,0.2271926038868789,0,0,23,26,Education
36,21157,555,Employed,24923,36,High School,0,279,0.6037343089089671,0.1752614078772224,0,1,22,16,Debt Consolidation
71,50209,666,Employed,8782,48,High School,1,479,0.1499693822303343,0.3036441113954427,0,0,26,15,Home
24,22600,577,Employed,44514,36,High School,3,441,0.2956282023108308,0.3966521191473845,0,0,30,2,Home
48,134518,623,Employed,53495,24,Doctorate,2,610,0.1691493787328348,0.1858297077706712,0,0,25,19,Home
47,49447,606,Employed,12305,36,High School,2,471,0.1477181521252502,0.3104498167947065,0,0,21,12,Debt Consolidation
44,71357,623,Employed,29109,36,Doctorate,1,420,0.4089466934779385,0.3825322904682146,0,0,26,15,Home
52,60084,552,Employed,19529,48,High School,3,331,0.3299199050659305,0.2637242859594386,0,0,21,11,Other
27,15000,601,Self-Employed,16556,96,Associate,4,1560,0.1569438636629085,0.3328311517722433,0,0,22,13,Home
54,23067,646,Employed,27453,108,Associate,3,363,0.1297931288041496,0.1151239523612891,0,0,27,28,Auto
46,28888,567,Self-Employed,12064,60,Bachelor,0,206,0.2734020043038327,0.1671002562868558,0,0,18,17,Home
21,61351,537,Employed,20747,60,Associate,3,212,0.1023057117502052,0.1342537989822566,0,0,31,17,Education
34,46355,521,Employed,11861,72,Associate,2,785,0.5441684059803016,0.1120752484165291,0,0,22,24,Debt Consolidation
40,32510,510,Employed,20949,60,High School,4,600,0.1993179228944745,0.3809058089065727,0,0,18,27,Debt Consolidation
27,34953,561,Employed,13261,36,Associate,0,402,0.2494975349288166,0.5793814764378128,0,0,26,13,Home
57,33405,628,Employed,11944,48,Associate,1,173,0.1981711001906826,0.1800694908276514,0,0,28,16,Debt Consolidation
36,35532,438,Self-Employed,12224,60,Associate,4,288,0.5220558867525855,0.2644452842389934,0,0,20,29,Home
57,35613,649,Employed,11724,48,Bachelor,0,422,0.1597278869290512,0.3626229636340125,0,0,21,29,Education
42,138748,582,Employed,25047,72,Bachelor,0,398,0.1547041143325584,0.1780264809593882,0,0,18,21,Debt Consolidation
41,91088,623,Employed,25062,48,Associate,0,698,0.2407895335073337,0.5743922558741341,0,0,28,17,Debt Consolidation
26,30414,533,Employed,24299,120,High School,5,1078,0.4087119978011611,0.119593045991531,0,0,19,27,Other
18,53812,581,Unemployed,25446,48,Bachelor,2,402,0.1896292747166412,0.5208663539503399,0,0,24,19,Debt Consolidation
64,105600,533,Employed,16995,12,High School,0,153,0.3096775735240921,0.0882967032582261,0,0,20,23,Home
40,57450,614,Employed,17014,36,Bachelor,0,693,0.4645526547569923,0.3944074914012138,0,0,16,27,Debt Consolidation
54,61353,571,Employed,18746,36,High School,0,408,0.2250513441782977,0.3098274274850173,0,0,17,17,Debt Consolidation
26,64990,645,Employed,15036,72,Master,2,270,0.2296268560933614,0.4616418033693236,0,0,19,24,Home
26,35345,551,Employed,48415,24,Bachelor,2,165,0.1452787317190225,0.117240454698157,0,0,28,5,Home
18,31459,587,Employed,7566,72,Associate,1,307,0.3891113087748289,0.3371134302044762,0,0,21,25,Education
40,72922,579,Employed,16604,36,Associate,4,330,0.1084859951441823,0.3081400447980598,0,1,24,5,Debt Consolidation
47,38220,541,Employed,29449,12,Associate,2,480,0.3721112957751841,0.4186986767176842,0,0,23,20,Debt Consolidation
23,76636,496,Self-Employed,33599,60,Master,2,704,0.1849945972045278,0.6673915721030071,0,1,21,19,Debt Consolidation
37,31514,619,Self-Employed,7913,48,Bachelor,0,592,0.2889372402834172,0.4455387185046019,0,0,19,24,Home
40,36964,658,Employed,19362,36,Master,2,652,0.2743214661509493,0.5186942280718083,0,0,22,20,Debt Consolidation
40,45172,615,Employed,11063,48,High School,3,195,0.0822195539775194,0.0870750532287476,0,0,21,4,Home
39,116234,441,Employed,23222,36,High School,0,400,0.5676775489791396,0.1777110553444911,0,1,28,14,Education
39,105056,535,Self-Employed,30273,36,Bachelor,1,701,0.1073617672646829,0.0356725562910468,0,0,26,27,Home
45,22501,599,Unemployed,18482,36,Associate,2,204,0.3054657595553819,0.2222513290529885,0,0,20,20,Debt Consolidation
39,67512,564,Employed,19696,24,High School,1,521,0.2070428311930064,0.5264073786018242,0,0,21,1,Education
62,48153,635,Employed,93360,48,High School,2,346,0.2578298800727308,0.1921331904630423,0,0,23,25,Debt Consolidation
60,53794,619,Employed,15407,48,Bachelor,5,492,0.3601557166009104,0.0997277413123263,0,1,28,9,Debt Consolidation
28,29152,556,Employed,45821,36,High School,4,481,0.0886296527706829,0.1951277601919665,0,1,22,18,Debt Consolidation
45,83779,624,Employed,18006,108,Bachelor,2,334,0.1950033094345926,0.2560185894970468,0,0,26,26,Debt Consolidation
52,93758,550,Employed,44265,60,High School,0,364,0.3151204909715686,0.1948637200639491,0,0,25,28,Home
46,70908,629,Self-Employed,16481,84,Associate,1,298,0.3087373548908802,0.2844896468716253,0,0,24,8,Home
34,28023,549,Employed,34827,72,High School,1,190,0.635526535270326,0.024464836664249,1,1,22,21,Debt Consolidation
45,28123,566,Unemployed,9187,36,Bachelor,0,134,0.2953715452625961,0.2864683004949392,0,0,22,5,Auto
34,17195,567,Employed,32284,60,High School,1,309,0.1274995444718605,0.4349581013497891,0,0,17,10,Education
59,40941,640,Employed,21402,48,Doctorate,3,317,0.0783948715998913,0.2475429995122923,0,0,31,6,Other
59,44418,551,Employed,29084,48,Associate,1,599,0.4322100807328933,0.2062654250161579,0,0,24,24,Home
41,62019,599,Employed,24378,96,Bachelor,3,257,0.2294132249987219,0.1574240695660705,0,0,24,12,Home
68,76492,652,Employed,5152,12,Bachelor,4,450,0.0231411930899112,0.0679956532130288,0,0,17,13,Debt Consolidation
60,106868,612,Employed,16389,36,Associate,0,504,0.4338797179269869,0.1113432887982735,1,0,23,27,Debt Consolidation
32,92747,546,Employed,33204,60,High School,0,850,0.6262644826963569,0.2337080648320852,0,0,24,8,Home
56,44862,647,Employed,10052,12,Bachelor,0,462,0.1417815910228107,0.0740948407964775,0,0,31,2,Auto
40,23176,533,Self-Employed,54931,36,Doctorate,3,383,0.4640455953938511,0.0950320117402516,0,0,31,22,Education
34,72122,572,Employed,20620,60,Bachelor,3,411,0.2042954924852391,0.5193074391897599,0,0,27,16,Education
27,27042,499,Unemployed,11029,108,Associate,3,977,0.3991353536219143,0.1009336268715546,0,0,19,18,Debt Consolidation
18,27777,479,Employed,18121,72,High School,1,504,0.1414568571247206,0.3880913996101278,0,0,18,29,Auto
44,15881,580,Employed,32674,120,High School,2,612,0.4406213712406572,0.284248440412348,0,0,28,16,Auto
33,30913,578,Self-Employed,31222,60,Associate,0,219,0.0100525839445257,0.2234161271722099,0,0,22,19,Education
29,15818,594,Employed,14250,84,Associate,0,681,0.4142907296762256,0.4732232735838078,0,0,35,3,Other
32,37886,581,Self-Employed,19373,72,Bachelor,2,602,0.1830360938584548,0.3854953660819898,0,0,27,25,Auto
50,38197,545,Employed,127011,24,Master,5,418,0.2737523690297952,0.1327604368456698,0,0,23,15,Other
33,53614,571,Employed,33340,60,High School,3,369,0.3462518659054631,0.266062566390996,0,0,31,23,Other
59,31749,604,Employed,34608,36,High School,1,428,0.2005497490960212,0.3181947257004328,0,0,29,27,Debt Consolidation
38,71964,614,Employed,24096,60,Master,0,589,0.2054603436471203,0.3076980392294136,0,0,25,25,Debt Consolidation
32,41398,516,Employed,14563,36,Bachelor,0,201,0.7751633341166365,0.1624644700588598,0,0,22,21,Home
32,64575,601,Employed,16786,36,Bachelor,4,342,0.4823332569414149,0.4179286476408537,0,0,19,11,Auto
60,32427,600,Employed,64942,48,High School,2,427,0.1846919919200514,0.3195804681343151,0,0,32,14,Auto
41,44728,576,Employed,21066,36,Bachelor,0,506,0.1448115263210608,0.0602656233221815,0,0,20,15,Other
57,47225,669,Employed,25971,36,Doctorate,1,224,0.239321752039474,0.4596678481004786,0,0,24,27,Home
32,70758,626,Employed,21137,60,Associate,0,294,0.2628124413940626,0.3274247775971597,0,0,20,21,Other
40,40734,590,Unemployed,18571,60,Bachelor,0,647,0.2497226760201781,0.1130796441135578,0,0,23,16,Home
40,54839,619,Employed,16905,48,Associate,1,292,0.1335072519313602,0.3387529871679897,0,1,25,14,Home
34,18692,487,Employed,30556,72,High School,0,414,0.1226706084712354,0.5015390848122744,0,0,16,12,Auto
69,63057,652,Employed,14092,36,Associate,0,405,0.133891167009635,0.340047878014833,0,0,18,13,Debt Consolidation
27,59383,561,Employed,10466,48,Associate,1,512,0.2581775497875928,0.0554451698078852,0,0,32,27,Debt Consolidation
40,95715,601,Employed,24596,60,Associate,1,417,0.2635138486304275,0.1823243672485255,0,0,22,1,Auto
50,90324,581,Employed,22468,60,High School,4,271,0.2600822854227852,0.1819895546256012,0,0,23,5,Auto
40,72059,647,Employed,12087,60,Bachelor,0,593,0.4886265593926497,0.1198467993694756,0,0,24,12,Auto
37,23852,553,Employed,41020,72,High School,1,967,0.5110016057012347,0.175136193319459,0,0,33,25,Education
55,287147,640,Employed,17712,24,Doctorate,1,556,0.6121497762278885,0.4069956704789126,0,0,27,20,Education
45,81695,590,Employed,16876,72,High School,0,246,0.0814381826703691,0.2439775024486167,0,0,20,21,Debt Consolidation
43,58679,549,Employed,19815,60,Bachelor,2,526,0.0962174031127082,0.1539621602691461,0,0,29,24,Education
32,44271,633,Unemployed,7739,36,Bachelor,2,501,0.2465297697566751,0.4158711545623496,0,0,33,19,Home
32,26379,559,Employed,32306,24,Master,4,490,0.2082602870252121,0.4883313275900782,0,0,29,17,Auto
51,141962,610,Employed,29143,60,Bachelor,3,138,0.6779854833619987,0.2850438431652213,0,0,15,4,Home
46,47303,581,Self-Employed,51533,48,High School,0,355,0.1521070387764423,0.0754708987096912,0,0,16,24,Debt Consolidation
39,50681,436,Employed,24950,36,Associate,1,536,0.1714050437505108,0.039932664344585,0,0,21,8,Auto
40,29277,465,Employed,11998,48,Bachelor,4,293,0.2794476897167979,0.2750496089828191,0,1,25,29,Debt Consolidation
65,65383,636,Employed,36384,96,Bachelor,1,361,0.2653620393717361,0.3951290756568388,0,0,14,2,Debt Consolidation
36,17344,541,Employed,60476,60,Master,0,277,0.2595119658526305,0.3492075456805055,0,0,24,10,Home
34,100757,602,Unemployed,33228,36,Bachelor,1,716,0.1688396641162828,0.2148656132460694,0,0,21,8,Other
31,22492,649,Employed,17779,48,Doctorate,1,492,0.4202864958599523,0.2238523541844835,0,0,23,26,Auto
27,300000,562,Employed,27113,120,Master,0,637,0.5300084436191052,0.1995728629715236,0,0,19,22,Home
28,21635,480,Employed,13627,72,High School,1,1227,0.098698072913949,0.0988943655142844,0,0,25,25,Debt Consolidation
48,85643,593,Unemployed,17847,60,Master,1,149,0.1098681164441045,0.2255254384959119,0,1,32,17,Other
56,52503,526,Unemployed,19870,60,High School,0,275,0.2346820532603372,0.203580738664104,0,0,19,5,Home
54,60662,519,Employed,8595,60,Bachelor,0,356,0.1357817369655857,0.1348271705555181,0,0,28,2,Other
18,75579,621,Employed,31782,12,Master,0,1136,0.2835029146653029,0.4653911595620137,0,0,26,14,Auto
57,192941,663,Employed,8954,48,Doctorate,2,430,0.4364907520987349,0.1083303251346709,1,0,16,24,Home
39,67027,602,Employed,24115,60,Bachelor,1,381,0.0491156590384374,0.1642905593927659,0,0,21,3,Home
41,21601,577,Employed,18373,12,Bachelor,2,485,0.0589715860829487,0.2640924302017864,0,0,21,7,Auto
58,47196,451,Employed,21650,24,High School,5,683,0.2769709524833897,0.3362144300081026,0,0,32,8,Education
60,53023,553,Employed,11265,24,Master,2,197,0.2932985532385479,0.2082874586045698,0,0,18,9,Auto
32,77173,606,Employed,17017,36,Bachelor,3,488,0.4488172020782905,0.4192299254627973,0,0,18,4,Other
34,21573,522,Employed,12419,48,Bachelor,0,194,0.4329456346470891,0.4087024481540232,0,0,28,15,Education
18,107546,565,Employed,28227,60,Master,1,702,0.3100013177510816,0.1331098009750952,0,0,29,18,Home
29,184104,507,Employed,13709,12,Bachelor,2,163,0.2651604166405146,0.1750202786330164,0,0,29,16,Debt Consolidation
33,79137,611,Employed,10217,60,Bachelor,3,648,0.0791459863508539,0.1581130290276263,0,0,30,11,Education
28,20355,582,Employed,60984,36,High School,1,408,0.1046426691178767,0.067076944555093,0,0,27,24,Education
71,157310,606,Employed,10722,60,Bachelor,3,1381,0.2206304877554587,0.2540266274564602,0,0,14,26,Auto
38,58031,528,Employed,15112,36,Bachelor,0,279,0.5429246091132288,0.4609120127828314,0,1,23,23,Home
46,101795,628,Self-Employed,12899,72,Bachelor,2,345,0.0744184543738864,0.12168325858614,0,0,20,9,Debt Consolidation
61,52314,663,Employed,17669,24,Master,1,694,0.3305516588125375,0.1901964367578894,0,0,27,22,Debt Consolidation
54,59792,609,Employed,21133,60,Bachelor,3,381,0.3902756545238083,0.3529489712302497,0,0,23,26,Education
18,35467,430,Employed,19056,84,High School,0,507,0.5928065936685576,0.641137553229017,0,1,23,17,Debt Consolidation
51,119667,531,Employed,11607,72,High School,2,452,0.1235665825778068,0.5364523776924093,0,0,26,10,Debt Consolidation
34,80261,580,Employed,16114,60,High School,2,366,0.1652144744164563,0.1993658999338051,0,1,23,21,Auto
45,23958,579,Self-Employed,19068,96,Bachelor,1,206,0.0399047268915835,0.421700432978199,0,0,19,14,Other
61,25120,562,Self-Employed,15055,60,Doctorate,1,354,0.326628015534164,0.2857190103713262,0,0,29,16,Debt Consolidation
29,52831,568,Employed,20724,72,Bachelor,4,554,0.1325976556421556,0.3316109258186901,0,0,18,17,Auto
25,15000,586,Employed,32186,24,High School,0,480,0.1525061767751708,0.3326761051956753,0,0,24,24,Debt Consolidation
50,37822,642,Employed,14092,36,Master,2,559,0.2133173262611446,0.2629007392878876,0,0,20,17,Home
50,64057,588,Employed,13309,48,High School,0,213,0.2470743893401107,0.2277857103247182,0,0,30,17,Auto
48,89975,639,Employed,14704,72,Master,1,250,0.2478697075081387,0.5107508408212548,0,1,21,8,Other
42,114545,512,Unemployed,17014,12,Bachelor,4,530,0.1363640684859738,0.4476952812218552,0,0,24,22,Auto
60,85658,586,Employed,13103,24,Master,1,611,0.1110520513015443,0.1615416242001443,0,1,22,11,Debt Consolidation
